listing_id,price,borough,neighborhood,price_per_month,price_range,latitude,longitude
33913644,150.0,Brooklyn, Bushwick,4562.5,Average,40.70205,-73.91338
33913682,75.0,Manhattan, Harlem,2281.25,Average,40.81482,-73.94477
33913702,75.0,Brooklyn, Bedford-Stuyvesant,2281.25,Average,40.68466,-73.94349
33914381,45.0,Manhattan, Washington Heights,1368.75,Budget,40.83266,-73.9414
33914432,68.0,Brooklyn, Bushwick,2068.3333333333335,Budget,40.69916,-73.91572
33914554,135.0,Staten Island, Todt Hill,4106.25,Average,40.61041,-74.11593
33915820,103.0,Manhattan, Harlem,3132.9166666666665,Average,40.80712,-73.95686
33915843,85.0,Manhattan, Hell's Kitchen,2585.4166666666665,Average,40.7665,-73.98943
33916529,200.0,Manhattan, East Harlem,6083.333333333333,Expensive,40.79551,-73.94813
33917759,95.0,Manhattan, Harlem,2889.5833333333335,Average,40.80332,-73.94853
33923209,90.0,Queens, Sunnyside,2737.5,Average,40.73591,-73.92415
33925600,60.0,Brooklyn, Borough Park,1825.0,Budget,40.6348,-74.00304
